variant,horizon,MAE,RMSE,MAPE,R2_classic,R2_alt
Haar-in-LoRA(A5-D3),1,0.1921833029631925,0.2532331291134666,181.8007588134057,0.46493372511938436,0.5483751904733558
Haar-in-LoRA(A5-D3),16,0.1922173753173087,0.25317382158442353,181.86300512767812,0.4651843222094242,0.5487913679446821
Haar-in-LoRA(A5-D3),96,0.19553631827741086,0.25739921940974947,186.76767551767267,0.44718351338326556,0.5486115456487192
